Alpha_0.1,Alpha_1,Alpha_10,Features
0.66454038,0.664537916,0.6645097,Score
180.5194074,181.8018122,194.0776127,Intercept
181.3249472,181.2572129,180.5921279,Open Hours
-20.88952291,-20.91805902,-21.20451134,Justice (<1)
-49.58594228,-49.52720268,-48.94534532,Justice (<5)
81.49720188,81.49939219,81.51730377,Justice (<10)
-10.29501151,-10.33211284,-10.70519675,Piercing Pagoda (<1)
-32.44286827,-32.38138281,-31.77296344,Piercing Pagoda (<5)
-34.73399578,-34.72343573,-34.62043882,Piercing Pagoda (<10)
97.05454241,96.74279208,93.74275432,Miniso (<1)
-42.61825182,-42.46008534,-40.95622043,Miniso (<5)
-97.74065241,-97.69338823,-97.22117656,Miniso (<10)
25.45750506,25.43452591,25.20088011,H&M (<1)
-6.133521931,-6.081101474,-5.559739888,H&M (<5)
-71.7447212,-71.72685222,-71.55168362,H&M (<10)
142.4709283,142.4402009,142.1344782,Zara (<1)
50.00651561,50.02306836,50.18340231,Zara (<5)
8.93357763,8.931622611,8.911132829,Zara (<10)
39.23578444,39.2279819,39.15267539,Competitor Density
-931.129727,-925.5429647,-873.0445558,Holiday_Event_Easter
521.964979,521.0590722,512.3309134,Holiday_Event_Good Friday
607.6409966,606.2071158,592.4751527,Holiday_Event_Memorial Day
-408.0722292,-407.9691393,-406.62331,Holiday_Event_Mother's Day
-182.1466772,-182.7543458,-188.4303682,Holiday_Event_None
456.4325305,454.7667734,438.9014869,Holiday_Event_President's Day
122.7479397,122.0624825,115.6977054,Holiday_Event_St. Patrick's Day
-187.4378123,-187.828994,-191.3070244,Holiday_Event_Valentine's Day
203.1973313,202.9717294,200.8589671,Holiday_Period_Easter
25.60818091,25.55742912,25.06294794,Holiday_Period_Memorial Day
27.11104177,26.87227224,24.53850229,Holiday_Period_Mother's Day
1.639797528,1.522816053,0.388799438,Holiday_Period_None
-144.6798717,-144.220278,-139.7939557,Holiday_Period_President's Day
-27.23567313,-27.26452525,-27.52854347,Holiday_Period_St. Patrick's Day
-85.64080666,-85.43944361,-83.52671759,Holiday_Period_Valentine's Day
0,0,0,Promo_B3G3F
0,0,0,Sales_Promo_None
-1037.604509,-1037.477996,-1036.221283,Cluster_0
976.7840226,976.4506276,973.1419425,Cluster_1
-409.2088776,-409.0895549,-407.9052293,Cluster_2
470.0293629,470.1169232,470.9845693,Cluster_3
-592.2867205,-592.1453091,-590.7635431,Day_of_Week_0
-627.276213,-627.2224992,-626.6890536,Day_of_Week_1
-586.3399722,-586.267985,-585.5637607,Day_of_Week_2
-456.8886585,-456.8077122,-456.0131156,Day_of_Week_3
94.56774156,94.64017639,95.35280016,Day_of_Week_4
1268.515687,1268.509825,1268.435129,Day_of_Week_5
899.7081339,899.2935043,895.2415437,Day_of_Week_6
-462.6062152,-461.9971657,-456.0226241,Week_Num_5
-222.971867,-222.9886003,-223.1394009,Week_Num_6
40.51307423,40.12002659,36.33399571,Week_Num_7
274.275243,274.2211646,273.6819411,Week_Num_8
114.7612216,114.7434535,114.563335,Week_Num_9
71.27832382,71.26724961,71.15362734,Week_Num_10
240.678469,240.5926334,239.7278751,Week_Num_11
128.6550978,128.6102473,128.1628058,Week_Num_12
317.4507632,317.3294335,316.1708369,Week_Num_13
170.5246986,170.5471314,170.7220006,Week_Num_14
-98.03847494,-98.02701351,-97.91555595,Week_Num_15
-45.86548509,-45.86102675,-45.81944252,Week_Num_16
-110.2047659,-110.1923541,-110.0713423,Week_Num_17
-130.5310282,-130.5155935,-130.3642829,Week_Num_18
-102.4044444,-102.4201847,-102.5785626,Week_Num_19
-116.718452,-116.6526113,-116.0058862,Week_Num_20
-115.1084076,-115.1224727,-115.2563548,Week_Num_21
-103.9479655,-103.8556776,-102.9535789,Week_Num_22
0.059156384,0.057271654,0.035555749,Week_Num_23
-5.707534644,-5.708149697,-5.717207942,Week_Num_24
40.97570569,40.9686155,40.89487185,Week_Num_25
114.9328871,114.8836228,114.397394,Week_Num_26
